rank,alpha,parameters,alpha,cv_score_1,cv_score_2,cv_score_3,cv_score_4,cv_score_5,RMSE
1,1,{'alpha': 1},1,0.703902160448613,0.6672852750321675,0.732180851434356,0.7187910510168655,0.7248774331815437,0.7094073542227092
2,10,{'alpha': 10},10,0.7017288771228906,0.6690314765690053,0.7342734189858322,0.7165475905107342,0.7265665367342269,0.7096295799845379
3,0.1,{'alpha': 0.1},0.1,0.7082866595565693,0.6662845989180047,0.7290903557588916,0.7215859360673864,0.7244125642829827,0.7099320229167669
4,0.01,{'alpha': 0.01},0.01,0.7099539865348882,0.666186553268448,0.728335234949589,0.7226844819159802,0.7250486357880732,0.7104417784913958
5,0.001,{'alpha': 0.001},0.001,0.7101674515950988,0.6661804878565424,0.7282496733219961,0.7228263305972464,0.7251627249887852,0.7105173336719337
6,0.0001,{'alpha': 0.0001},0.0001,0.7101894020074804,0.6661799412513957,0.7282410103700796,0.7228409284032065,0.7251748880171459,0.7105252340098616
7,100,{'alpha': 100},100,0.7001499022377816,0.6753232558498322,0.7383784267606762,0.7139039235558664,0.7331940779510275,0.7121899172710369
